1250.000,-23.023
2500.000,-11.015
3750.000,-12.433
5000.000,-8.979
6250.000,-7.994
7500.000,-9.343
8750.000,-9.534
10000.000,-10.741
11250.000,-12.963
12500.000,-12.706
13750.000,-12.569
15000.000,-11.607
16250.000,-11.847
17500.000,-9.240
18750.000,-15.000
20000.000,-10.738
21250.000,-11.234
22500.000,-11.414
23750.000,-10.841
25000.000,-11.146
26250.000,-14.205
27500.000,-12.637
28750.000,-8.302
30000.000,-11.480
31250.000,-8.035
32500.000,-9.535
33750.000,-8.787
35000.000,-10.694
36250.000,-10.072
37500.000,-11.399
38750.000,-9.761
40000.000,-6.986
41250.000,-6.951
42500.000,-11.443
43750.000,-11.733
45000.000,-11.258
46250.000,-9.884
47500.000,-7.855
48750.000,-11.706
50000.000,-8.987
51250.000,-7.426
52500.000,-8.818
53750.000,-9.587
55000.000,-10.758
56250.000,-10.315
57500.000,-9.533
58750.000,-9.635
60000.000,-9.844
